n,num_trains,k,time,time_first_solution,solution_found,num_movements
2,30,9,50.35178327560425,50.35178327560425,True,189
2,30,10,53.38384008407593,53.38384008407593,True,167
2,30,13,68.73618841171265,68.73618841171265,True,181
2,30,9,47.78005075454712,47.78005075454712,True,194
2,30,8,49.247429609298706,49.247429609298706,True,177
2,30,8,47.83853554725647,47.83853554725647,True,172
2,30,12,69.79567790031433,69.79567790031433,True,178
2,30,410,1803.202980518341,1803.202980518341,False,172
2,30,8,76.64733219146729,76.64733219146729,True,171
2,30,8,39.40555667877197,39.40555667877197,True,165
2,30,439,1800.337221622467,1800.337221622467,False,176
2,30,7,40.834017276763916,40.834017276763916,True,184
2,30,18,85.62089800834656,85.62089800834656,True,158
2,30,9,51.76039528846741,51.76039528846741,True,177
2,30,10,56.453885078430176,56.453885078430176,True,168
2,30,20,101.45605039596558,101.45605039596558,True,176
2,30,11,52.25449562072754,52.25449562072754,True,170
2,30,405,1802.579520225525,1802.579520225525,False,173
2,30,13,67.30295085906982,67.30295085906982,True,158
2,30,9,48.806992292404175,48.806992292404175,True,163
2,30,10,50.96545171737671,50.96545171737671,True,168
2,30,11,54.43603014945984,54.43603014945984,True,194
2,30,49,221.1010353565216,221.1010353565216,True,183
2,30,8,40.79111671447754,40.79111671447754,True,177
2,30,386,1803.582813501358,1803.582813501358,False,193
2,30,6,32.514259576797485,32.514259576797485,True,185
2,30,9,48.04772472381592,48.04772472381592,True,196
2,30,7,36.41959857940674,36.41959857940674,True,159
2,30,10,60.329954385757446,60.329954385757446,True,165
2,30,8,46.87028169631958,46.87028169631958,True,184
2,30,11,59.02050805091858,59.02050805091858,True,170
2,30,21,99.26411175727844,99.26411175727844,True,154
2,30,9,44.75990056991577,44.75990056991577,True,174
2,30,8,43.16934895515442,43.16934895515442,True,181
2,30,9,48.35801362991333,48.35801362991333,True,212
2,30,11,59.45307397842407,59.45307397842407,True,182
2,30,8,43.38227677345276,43.38227677345276,True,176
2,30,7,34.24158596992493,34.24158596992493,True,179
2,30,8,49.336206674575806,49.336206674575806,True,190
2,30,8,42.946895599365234,42.946895599365234,True,195
2,30,10,54.28682827949524,54.28682827949524,True,162
2,30,8,44.59049201011658,44.59049201011658,True,162
2,30,378,1802.2501423358917,1802.2501423358917,False,165
2,30,9,48.2995023727417,48.2995023727417,True,189
2,30,11,65.04772114753723,65.04772114753723,True,185
2,30,394,1800.7156255245209,1800.7156255245209,False,195
2,30,10,50.41956162452698,50.41956162452698,True,171
2,30,360,1800.9964973926544,1800.9964973926544,False,169
2,30,9,47.75237202644348,47.75237202644348,True,169
2,30,405,1801.728345155716,1801.728345155716,False,175
2,30,7,41.7799813747406,41.7799813747406,True,181
2,30,8,36.50372934341431,36.50372934341431,True,166
2,30,11,55.902445554733276,55.902445554733276,True,171
2,30,6,32.634817361831665,32.634817361831665,True,158
2,30,15,93.03046011924744,93.03046011924744,True,180
2,30,345,1803.1306507587433,1803.1306507587433,False,159
2,30,418,1803.071918964386,1803.071918964386,False,174
2,30,10,49.854676485061646,49.854676485061646,True,193
2,30,7,39.2718563079834,39.2718563079834,True,146
2,30,12,64.59466361999512,64.59466361999512,True,163
2,30,6,31.492796421051025,31.492796421051025,True,177
2,30,9,47.71377682685852,47.71377682685852,True,181
2,30,11,104.97323441505432,104.97323441505432,True,173
2,30,7,40.60498905181885,40.60498905181885,True,174
